NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,VALPROATO,2.5,SI,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,VALPROATO,12.05,SI,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,VALPROATO,4.82,SI,NO
DOLVIRAN,ORIGINAL,KERN PHARMA S.L.,CODEINA,1.76,NO,NO
DOLVIRAN,ORIGINAL,KERN PHARMA S.L.,ACETILSALICILICO,1.86,NO,NO
NOCTAMID,ORIGINAL,TEOFARMA S.R.L,LORMETAZEPAM,2.01,NO,NO
NOCTAMID,ORIGINAL,TEOFARMA S.R.L,LORMETAZEPAM,2.31,NO,NO
PROPALCOF,ORIGINAL,BAYER HISPANIA S.L,DEXTROMETORFANO,5.4,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,TAMOXIFENO,2.53,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,TAMOXIFENO,8.43,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,TAMOXIFENO,5.06,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,TAMOXIFENO,10.12,NO,NO
RESINSODIO,ORIGINAL,RUBIO S.A.,POLIESTIRENOSULFONATO,29.69,NO,NO
TRIFLUSAL,GENERICO,TEVA PHARMA S.L.U,TRIFLUSAL,5.53,SI,NO
TRIFLUSAL,GENERICO,TEVA PHARMA S.L.U,TRIFLUSAL,9.21,SI,NO
TORASEMIDA,GENERICO,CINFA S.A.,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,CINFA S.A.,TORASEMIDA,5.29,SI,NO
IBUPROFENO,GENERICO,ARISTO PHARMA IBERIA S.L.,IBUPROFENO,1.97,NO,NO
IBUPROFENO,GENERICO,SANDOZ FARMACEUTICA S.A,IBUPROFENO,1.97,NO,NO
TORASEMIDA,GENERICO,SANDOZ FARMACEUTICA S.A,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,SANDOZ FARMACEUTICA S.A,TORASEMIDA,5.29,SI,NO
LISINOPRIL-HIDROCLOROT,GENERICO,TEVA PHARMA S.L.U,HIDROCLOROTIAZIDALISINOPRIL,7.37,NO,NO
TORASEMIDA,GENERICO,STADA S.L,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,STADA S.L,TORASEMIDA,5.29,SI,NO
DOXAZOSINA,GENERICO,TEVA PHARMA S.L.U,DOXAZOSINA,7.27,SI,NO
MIRTAZAPINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,MIRTAZAPINA,17.05,NO,NO
ATACAND,ORIGINAL,RUBIO S.A.,CANDESARTAN,20.97,NO,NO
CITALOPRAM,ORIGINAL,FARMALIDER S.A.,CITALOPRAM,2.56,NO,NO
LANSOPRAZOL,GENERICO,CINFA S.A.,LANSOPRAZOL,7.96,NO,NO
LANSOPRAZOL,GENERICO,CINFA S.A.,LANSOPRAZOL,15.92,NO,NO
INSPRA,ORIGINAL,VIATRIS  HEALTHCARE S.L.,EPLERENONA,53.34,NO,NO
INSPRA,ORIGINAL,VIATRIS  HEALTHCARE S.L.,EPLERENONA,26.68,NO,NO
ARTEOPTIC,ORIGINAL,BAUSCH AND LOMB S.A,CARTEOLOL,2.5,SI,NO
HIDRATHEA,ORIGINAL,THEA S.A.,SODIO,6.09,NO,NO
MIRTAZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,MIRTAZAPINA,8.52,NO,NO
MIRTAZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,MIRTAZAPINA,17.05,NO,NO
PUREGON,ORIGINAL,ORGANON SALUD S.L.,FOLITROPINA,359.05,NO,NO
KARVEZIDE,ORIGINAL,SANOFI AVENTIS S.A,HIDROCLOROTIAZIDAIRBESARTAN,9.65,NO,NO
KARVEZIDE,ORIGINAL,SANOFI AVENTIS S.A,IRBESARTANHIDROCLOROTIAZIDA,19.29,NO,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,PRAVASTATINA,4.07,SI,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,PRAVASTATINA,8.15,SI,NO
RANITIDINA,GENERICO,MABO-FARMA S.A.,RANITIDINA,3.89,NO,NO
ACICLOVIR,GENERICO,MABO-FARMA S.A.,ACICLOVIR,9.8,NO,NO
ACICLOVIR,GENERICO,MABO-FARMA S.A.,ACICLOVIR,52.95,NO,NO
OMEPRAZOL,GENERICO,MABO-FARMA S.A.,OMEPRAZOL,2.5,NO,NO
RANITIDINA,GENERICO,MABO-FARMA S.A.,RANITIDINA,7.77,NO,NO
POMADA,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,NEOMICINA,3.9,NO,NO
POMADA,ORIGINAL,DESMA LABORATORIO FARMACEUTICO S.L.,NEOMICINA,2.5,NO,NO
ENALAPRIL/HIDROCLOR,GENERICO,TECNIMEDE ESPANA INDUSTRIA FARMACEUTICA S.A.,HIDROCLOROTIAZIDAENALAPRIL,1.84,NO,NO
CLARITROMICINA,ORIGINAL,SANDOZ FARMACEUTICA S.A,CLARITROMICINA,4.68,NO,NO
LISINOPRIL,GENERICO,TEVA PHARMA S.L.U,LISINOPRIL,3.4,SI,NO
HALOPERIDOL,ORIGINAL,ESTEVE PHARMACEUTICALS S.A.,HALOPERIDOL,2.5,NO,NO
CEFIXIMA,GENERICO,NORMON S.A.,CEFIXIMA,11.47,NO,NO
MELOXICAM,GENERICO,STADA S.L,MELOXICAM,2.5,NO,NO
MELOXICAM,GENERICO,STADA S.L,MELOXICAM,2.54,NO,NO
LISINOPRIL,GENERICO,SUN PHARMA LABORATORIOS S.L,LISINOPRIL,6.35,SI,NO
PRAVASTATINA,GENERICO,TARBIS FARMA S.L.,PRAVASTATINA,16.3,SI,NO
CITALVIR,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,CITALOPRAM,2.5,NO,NO
CITALVIR,ORIGINAL,ABABOR PHARMACEUTICALS S.L.,CITALOPRAM,2.56,NO,NO
CITALOPRAM,GENERICO,BEXAL FARMACEUTICA S.A.,CITALOPRAM,7.68,NO,NO
IMIGRAN,ORIGINAL,GLAXOSMITHKLINE S.A.,SUMATRIPTAN,12.18,NO,NO
