DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE
AMISULPRIDA,SOCIAN,SOLIDO,SANOFI AVENTIS
AMISULPRIDA,DENIBAN,SOLIDO,SANOFI AVENTIS
BELATACEPT,NULOJIX,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB
BILASTINA,BILAXTEN,SOLIDO,FAES FARMA
BRIMONIDINA,SIMBRINZA,LIQUIDO,NOVARTIS
CERLIPONASA,BRINEURA,LIQUIDO/SOLIDO,BIOMARIN
INHIBIDOR,BERINERT,LIQUIDO/SOLIDO,CSL BEHRING
INTERFERON,IMUKIN,LIQUIDO/SOLIDO,BOEHRINGER
IOVERSOL,OPTIRAY,LIQUIDO/SOLIDO,LIEBEL
PONATINIB,ICLUSIG,SOLIDO,PINT PHARMA
TAMSULOSINA,DUODART,SOLIDO,GLAXOSMITHKLINE
TAMSULOSINA,TAMSULON DUO,SOLIDO,ASOFARMA
ILOPROST,VENTAVIS,LIQUIDO,BAYER
FACTOR,FEIBA,LIQUIDO/SOLIDO,BAXALTA
COAGULACION,NOVOSEVEN RT,LIQUIDO/SOLIDO,NOVO NORDISK
AMBRISENTAN,VOLIBRIS,SOLIDO,GLAXOSMITHKLINE
TEMOZOLOMIDA,TEMODAL,SOLIDO,MERCK SHARP DOME
CAPECITABINA,KAXEL,SOLIDO,MEDISPRAY
CAPECITABINA,XELODA,SOLIDO,ROCHE
CETUXIMAB,ERBITUX,LIQUIDO/SOLIDO,MERCK
SORAFENIB,NEXAVAR,SOLIDO,BAYER
BORTEZOMIB,VELCADE,LIQUIDO/SOLIDO,JANSSEN
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,AL PHARMA
BEVACIZUMAB,AVASTIN,LIQUIDO/SOLIDO,ROCHE
GOSERELINA,ZOLADEX,LIQUIDO/SOLIDO,ASTRAZENECA
INTERFERON,BETAFERON,LIQUIDO/SOLIDO,BAYER
INFLIXIMAB,REMICADE,LIQUIDO/SOLIDO,JANSSEN
NATALIZUMAB,TYSABRI,LIQUIDO/SOLIDO,BIOGEN
ECULIZUMAB,SOLIRIS,LIQUIDO/SOLIDO,ALEXION
ADALIMUMAB,HUMIRA TM,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE
CERTOLIZUMAB,CIMZIA,LIQUIDO/SOLIDO,UCB
TOCILIZUMAB,ACTEMRA,LIQUIDO/SOLIDO,ROCHE
VIGABATRINA,SABRIL,SOLIDO,SANOFI AVENTIS
GALANTAMINA,REMINYL ER,SOLIDO,JANSSEN
OMALIZUMAB,XOLAIR,LIQUIDO/SOLIDO,NOVARTIS
LANREOTIDO,SOMATULINE,LIQUIDO/SOLIDO,IPSEN
VALGANCICLOVIR,VALIXA,SOLIDO,ROCHE
VALGANCICLOVIR,VANGAVIR,SOLIDO,BIOTOSCANA
TACROLIMUS,PROGRAF XL,SOLIDO,ASTELLAS
LINEZOLID,ZYVOXID,SOLIDO,PFIZER
LINEZOLID,LINEZOLID,SOLIDO,VESALIUS
NILOTINIB,TASIGNA,SOLIDO,NOVARTIS
TACROLIMUS,PROGRAF,SOLIDO,ASTELLAS
TACROLIMUS,TACROLIMUS,SOLIDO,SANDOZ
INTERFERON,AVONEX,LIQUIDO/SOLIDO,BIOGEN
ABATACEPT,ORENCIA,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB
ETANERCEPT,ETANAR,LIQUIDO/SOLIDO,LA SANTE
ETANERCEPT,ENBREL,LIQUIDO/SOLIDO,PFIZER
INTERFERON,REBIF,LIQUIDO/SOLIDO,MERCK
ALTEPLASA,ACTILYSE,LIQUIDO/SOLIDO,BOEHRINGER
BICALUTAMIDA,CASODEX,SOLIDO,ASTRAZENECA
BICALUTAMIDA,LUTAMIDAL,SOLIDO,MONTE VERDE
CASPOFUNGINA,CANCIDAS,LIQUIDO/SOLIDO,MERCK SHARP DOME
CICLOSPORINA,SANDIMMUN,SOLIDO,NOVARTIS
CICLOSPORINA,SANDIMMUN NEORAL,SOLIDO,NOVARTIS
DABIGATRAN,PRADAXA,SOLIDO,BOEHRINGER
DORNASE,PULMOZYME,LIQUIDO,ROCHE
ESOMEPRAZOL,NEXIUM,LIQUIDO/SOLIDO,ASTRAZENECA
ESOMEPRAZOL,ESOMEPRAZOL,LIQUIDO/SOLIDO,VITALIS
EXEMESTANO,AROMASIN,SOLIDO,PFIZER
EXEMESTANO,HB ONCOFEME,SOLIDO,HB HUMAN BIOSCIENCE
EXEMESTANO,EXEMESTIN,SOLIDO,SANDOZ
FULVESTRANT,FASLODEX,LIQUIDO/SOLIDO,ASTRAZENECA
INSULINA,NOVORAPID,LIQUIDO/SOLIDO,NOVO NORDISK
INSULINA,LEVEMIR,LIQUIDO/SOLIDO,NOVO NORDISK
INSULINA,LANTUS,LIQUIDO/SOLIDO,SANOFI AVENTIS
INSULINA,APIDRA,LIQUIDO/SOLIDO,SANOFI AVENTIS
INSULINA,HUMALOG,LIQUIDO/SOLIDO,ELI LILLY
LEFLUNOMIDA,INFLAXEN,SOLIDO,PROCAPS
LEFLUNOMIDA,ARAVA,SOLIDO,SANOFI AVENTIS
LEUPRORELINA,ELIGARD,LIQUIDO/SOLIDO,TOLMAR
