Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"DEPAKINE 500 mg comprimidos gastrorresistentes, 20 comprimidos",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,ESPECIAL,VALPROATO SODIO,2.5,,NO,SI,NO,NO
"DEPAKINE 500 mg comprimidos gastrorresistentes, 100 comprimidos",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,ESPECIAL,VALPROATO SODIO,12.05,,NO,SI,NO,NO
"DEPAKINE 200 mg comprimidos gastrorresistentes, 40 comprimidos",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,ESPECIAL,VALPROATO SODIO,2.5,,NO,SI,NO,NO
"DEPAKINE 200 mg comprimidos gastrorresistentes, 100 comprimidos",Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,ESPECIAL,VALPROATO SODIO,4.82,,NO,SI,NO,NO
DOLVIRAN 20 COMPRIMIDOS,Medicamento Etica,"KERN PHARMA, S.L.",ALTA,NORMAL,"CODEINA FOSFATO HEMIHIDRATO,CAFEINA ANHIDRA,ACETILSALICILICO ACIDO",1.76,,NO,NO,NO,NO
DOLVIRAN 10 SUPOSITORIOS ADULTOS,Medicamento Etica,"KERN PHARMA, S.L.",ALTA,NORMAL,"ACETILSALICILICO ACIDO,CODEINA FOSFATO HEMIHIDRATO,CAFEINA ANHIDRA",1.86,,NO,NO,NO,NO
NOCTAMID 1MG 30 COMPRIMIDOS RANURADOS,Medicamento Etica,"TEOFARMA, S.R.L",ALTA,NORMAL,LORMETAZEPAM,2.01,LORMETAZEPAM 1 MG 30 COMPRIMIDOS,NO,NO,NO,NO
NOCTAMID 2MG 20 COMPRIMIDOS RANURADOS,Medicamento Etica,"TEOFARMA, S.R.L",ALTA,NORMAL,LORMETAZEPAM,2.31,LORMETAZEPAM 2 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION , 1 frasco de 20 ml",Medicamento Etica,"BAYER HISPANIA, S.L",ALTA,NORMAL,DEXTROMETORFANO HIDROBROMURO,5.4,,NO,NO,NO,NO
"TAMOXIFENO SANDOZ 10 MG COMPRIMIDOS EFG , 30 comprimidos",Medicamento Generico,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,ESPECIAL,TAMOXIFENO CITRATO,2.53,TAMOXIFENO 10 MG 30 COMPRIMIDOS,NO,NO,NO,NO
