ATC,Descripción Principio Activo,Forma Farmacéutica,Nombre Genérico,detalles del producto,Presentación,Tamaño de Caja o presentación,Fabricante,Precio máximo de venta transacción final comercial
N05AL05,Amisulprida,Sólido - Oral,SOCIAN,Amisulprida 50mg/1U,Sólido,Oral x 20,SANOFI AVENTIS,No regulado
N05AL05,Amisulprida,Sólido - Oral,SOCIAN,Amisulprida 50mg/1U,Sólido,Oral x 10,SANOFI AVENTIS,No regulado
N05AL05,Amisulprida,Sólido - Oral,SOCIAN,Amisulprida 50mg/1U,Sólido,Oral x 30,SANOFI AVENTIS,No regulado
N05AL05,Amisulprida,Sólido - Oral,DENIBAN,Amisulprida 200mg/1U,Sólido,Oral x 20,SANOFI AVENTIS,No regulado
N05AL05,Amisulprida,Sólido - Oral,DENIBAN,Amisulprida 200mg/1U,Sólido,Oral x 10,SANOFI AVENTIS,No regulado
L04AA28,Belatacept,Líquido/Sólido - Inyectable,NULOJIX,Belatacept 250mg/1U,Líquido/Sólido,Inyectable x 1,BRISTOL MYERS SQUIBB,No regulado
R06AX29,Bilastina,Sólido - Oral,BILAXTEN,Bilastina 20mg/1U,Sólido,Oral x 10,FAES FARMA,No regulado
R06AX29,Bilastina,Sólido - Oral,BILAXTEN,Bilastina 20mg/1U,Sólido,Oral x 20,FAES FARMA,No regulado
R06AX29,Bilastina,Sólido - Oral,BILAXTEN,Bilastina 20mg/1U,Sólido,Oral x 30,FAES FARMA,No regulado
S01EC54,Brimonidina + Brinzolamida,Líquido - Oftálmica,SIMBRINZA,"Brimonidina 5mg/2,5ml (2mg/1ml) + Brinzolamida 25mg/2,5ml (10mg/1ml)",Líquido,Oftálmica x 1,NOVARTIS,No regulado
S01EC54,Brimonidina + Brinzolamida,Líquido - Oftálmica,SIMBRINZA,Brimonidina 10mg/5ml (2mg/1ml) + Brinzolamida 50mg/5ml (10mg/1ml),Líquido,Oftálmica x 1,NOVARTIS,No regulado
A16AB17,Cerliponasa alfa,Líquido/Sólido - Inyectable,BRINEURA,Cerliponasa Alfa 150mg/5ml (30mg/1ml),Líquido/Sólido,Inyectable x 2,BioMarin,No regulado
B06AC01,"Inhibidor de C1, derivado de plasma",LíqUIdo/Sólido - Inyectable,BERINERT,Inhibidor De C1 500UI/1U,LíqUIdo/Sólido,Inyectable x 1,CSL Behring,No regulado
L03AB03,Interferon Gamma 1-B,Líquido/Sólido - Inyectable,IMUKIN,"Interferon Gamma 1 -B 0,1mg/1U",Líquido/Sólido,Inyectable x 6,BOEHRINGER,No regulado
L03AB03,Interferon Gamma 1-B,Líquido/Sólido - Inyectable,IMUKIN,"Interferon Gamma 1 -B 0,1mg/1U",Líquido/Sólido,Inyectable x 1,BOEHRINGER,No regulado
L03AB03,Interferon Gamma 1-B,Líquido/Sólido - Inyectable,IMUKIN,"Interferon Gamma 1-B 0,1mg/1U",Líquido/Sólido,Inyectable x 5,BOEHRINGER,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 636mg/1ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 63600mg/100ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 63600mg/100ml (636mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 95400mg/150ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 31800mg/50ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 47700mg/75ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 47700mg/75ml (636mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 31800mg/50ml (636mg/1ml),Líquido/Sólido,Inyectable x 25,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 636mg/1ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 127200mg/200ml (636mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 95400mg/150ml (636mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 127200mg/200ml (636mg/1ml),Líquido/Sólido,Inyectable x 12,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 31800mg/50ml (636mg/1ml),Líquido/Sólido,Inyectable x 20,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 50850mg/75ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 67800mg/100ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 84750mg/125ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
V08AB07,Ioversol,Líquido/Sólido - Inyectable,OPTIRAY,Ioversol 101700mg/150ml (678mg/1ml),Líquido/Sólido,Inyectable x 1,LIEBEL,No regulado
