NOMBRE DEL PRODUCTO FARMACEUTICO,TIPO DE FARMACO,NOMBRE DEL LABORATORIO OFERTANTE,ESTADO,PRINCIPIO ACTIVO O ASOCIACION DE PRINCIPIOS ACTIVOS,PRECIO VENTA CON IVA_EUROS,TRATAMIENTO DE LARGA DURACION,MEDICAMENTO HUERFANO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,ALTA,VALPROATO,2.5,SI,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,ALTA,VALPROATO,12.05,SI,NO
DEPAKINE,ORIGINAL,SANOFI AVENTIS S.A,ALTA,VALPROATO,4.82,SI,NO
DOLVIRAN,ORIGINAL,KERN PHARMA S.L.,ALTA,CODEINA,1.76,NO,NO
DOLVIRAN,ORIGINAL,KERN PHARMA S.L.,ALTA,ACETILSALICILICO,1.86,NO,NO
NOCTAMID,ORIGINAL,TEOFARMA S.R.L,ALTA,LORMETAZEPAM,2.01,NO,NO
NOCTAMID,ORIGINAL,TEOFARMA S.R.L,ALTA,LORMETAZEPAM,2.31,NO,NO
PROPALCOF,ORIGINAL,BAYER HISPANIA S.L,ALTA,DEXTROMETORFANO,5.4,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,TAMOXIFENO,2.53,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,TAMOXIFENO,8.43,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,TAMOXIFENO,5.06,NO,NO
TAMOXIFENO,GENERICO,SANDOZ FARMACEUTICA S.A,BAJA GENERAL,TAMOXIFENO,10.12,NO,NO
RESINSODIO,ORIGINAL,RUBIO S.A.,ALTA,POLIESTIRENOSULFONATO,29.69,NO,NO
TRIFLUSAL,GENERICO,TEVA PHARMA S.L.U,ALTA,TRIFLUSAL,5.53,SI,NO
TRIFLUSAL,GENERICO,TEVA PHARMA S.L.U,ALTA,TRIFLUSAL,9.21,SI,NO
TORASEMIDA,GENERICO,CINFA S.A.,ALTA,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,CINFA S.A.,ALTA,TORASEMIDA,5.29,SI,NO
IBUPROFENO,GENERICO,ARISTO PHARMA IBERIA S.L.,ALTA,IBUPROFENO,1.97,NO,NO
IBUPROFENO,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,IBUPROFENO,1.97,NO,NO
TORASEMIDA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,TORASEMIDA,5.29,SI,NO
LISINOPRIL-HIDROCLOROT,GENERICO,TEVA PHARMA S.L.U,ALTA,HIDROCLOROTIAZIDALISINOPRIL,7.37,NO,NO
TORASEMIDA,GENERICO,STADA S.L,ALTA,TORASEMIDA,2.65,SI,NO
TORASEMIDA,GENERICO,STADA S.L,ALTA,TORASEMIDA,5.29,SI,NO
DOXAZOSINA,GENERICO,TEVA PHARMA S.L.U,ALTA,DOXAZOSINA,7.27,SI,NO
MIRTAZAPINA,GENERICO,VIATRIS PHARMACEUTICALS S.L.U,ALTA,MIRTAZAPINA,17.05,NO,NO
ATACAND,ORIGINAL,RUBIO S.A.,ALTA,CANDESARTAN,20.97,NO,NO
CITALOPRAM,ORIGINAL,FARMALIDER S.A.,ALTA,CITALOPRAM,2.56,NO,NO
LANSOPRAZOL,GENERICO,CINFA S.A.,ALTA,LANSOPRAZOL,7.96,NO,NO
LANSOPRAZOL,GENERICO,CINFA S.A.,ALTA,LANSOPRAZOL,15.92,NO,NO
INSPRA,ORIGINAL,VIATRIS  HEALTHCARE S.L.,ALTA,EPLERENONA,53.34,NO,NO
INSPRA,ORIGINAL,VIATRIS  HEALTHCARE S.L.,ALTA,EPLERENONA,26.68,NO,NO
ARTEOPTIC,ORIGINAL,BAUSCH AND LOMB S.A,ALTA,CARTEOLOL,2.5,SI,NO
HIDRATHEA,ORIGINAL,THEA S.A.,ALTA,SODIO,6.09,NO,NO
MIRTAZAPINA,GENERICO,SANDOZ FARMACEUTICA S.A,ALTA,MIRTAZAPINA,8.52,NO,NO
