BAPIO,TOKENIO,BAPCOMP,TOKENCOMP
BP296,RICPM8,DI00_BP2,CEPDDI00
BP297,RICPM1,DI08_BP2,CEPDDI08
BP298,RIOOBMSM,DI10_BP2,CEPDDI10
BP299,RIB2CXL6,DI18_BP2,CEPDDI18
BP300,RIB2HOT6,DI20_BP2,CEPDDI20
BP301,RIB2UPI6,DI28_BP2,CEPDDI28
BP302,RICMUP60,DI30_BP2,CEPDDI30
BP303,RICMCX61,DI38_BP2,CEPDDI38
BP304,RICM2H62,DI40_BP2,CEPDDI40
BP305,RIDDIC6,DI48_BP2,CEPDDI48
BP306,RIHIOP6,DI50_BP2,CEPDDI50
BP307,RIDDIS6,DI58_BP2,CEPDDI58
BP308,RIB2HOC7,DI60_BP2,CEPDDI60
BP309,RIB2HOR7,DI68_BP2,CEPDDI68
BP310,RIB2UBX7,DI70_BP2,CEPDDI70
BP311,RICMUB70,DI78_BP2,CEPDDI78
BP312,RICMUC71,DI80_BP2,CEPDDI80
BP313,RICMUR72,DI88_BP2,CEPDDI88
BP314,RIDDIC7,DI90_BP2,CEPDDI90
BP315,RIDDIS7,DI98_BP2,CEPDDI98
BP316,RIB2CXL8,EPMU_BP2,CEPRMU
BP317,RIB2HOT8,EPPU_BP0,CEPRPUN
BP318,RICMDU80,EPRE_BP2,CEPRRES
BP319,RICMCX81,F030_BP3,CFMA0340
BP320,RICM2H82,F031_BP3,CFMA0341
BP321,RIDDIC8,F930_BP3,CFMA9340
BP322,RIHIOP8,F931_BP3,CFMA9341
BP323,RIDDIS8,F050_BP3,CFMB0560
BP324,RIB2CXL9,F051_BP3,CFMB0561
BP325,RIB2HOT9,F950_BP3,CFMB9560
BP326,RIB2UPI9,F951_BP3,CFMB9561
BP327,RICMUP90,M030_BP0,CMCA0340
BP328,RICMCX91,M031_BP0,CMCA0341
BP329,RICM2H92,M930_BP0,CMCA9340
BP330,RIDDIC9,M931_BP0,CMCA9341
BP331,RIHIOP9,M050_BP0,CMCB0560
BP332,RIDDIS9,M051_BP0,CMCB0561
BP333,RIFWS,M950_BP0,CMCB9560
BP334,RIDSA8,M951_BP0,CMCB9561
BP335,RIHQM8,HINF_BP1,CHINFRA
BP336,RIIAX8,SPK0_BP2,CSPKTIL0
BP337,RIP5CXL6,SPK9_BP2,CSPKTIL9
BP338,RIP5X166,CP00_BP0,CCHA01
BP339,RIP5X86,CP02_BP0,CCHA02
BP340,RIUPI6,CP01_BP0,CCHA11
BP341,RIP5CXL9,CP03_BP0,CCHA12
BP342,RIP5X169,CP04_BP0,CCHA13
BP343,RIP5X89,CP05_BP0,CCHA14
BP344,RIUPI9,CP06_BP0,CCHA15
BP345,RIB2CXL4,CP07_BP0,CCHA16
BP346,RIB2HOT4,CP08_BP0,CCHA17
BP347,RICMDU40,CP18_BP0,CCHA21
BP348,RICMCX41,CP20_BP0,CCHA22
BP349,RICM2H42,CP22_BP0,CCHA23
BP350,RIDDIC4,CP24_BP0,CCHA24
BP351,RIHIOP4,CP26_BP0,CCHA25
BP352,RIDDIS4,CP28_BP0,CCHA26
BP353,RIB2CXL5,CP30_BP0,CCHA27
BP354,RIB2HOT5,CP19_BP0,CCHA31
BP355,RICMCX50,CP21_BP0,CCHA32
BP356,RICMDU51,CP23_BP0,CCHA33
BP357,RICM2H52,CP25_BP0,CCHA34
BP358,RIDDIC5,CP27_BP0,CCHA35
BP359,RIHIOP5,CP29_BP0,CCHA36
BP360,RIDDIS5,CP31_BP0,CCHA37
BP361,RIP5CXL4,CP46_BP0,CCHA41
BP362,RIP5X164,CP48_BP0,CCHA42
BP363,RIP5X84,CP50_BP0,CCHA43
BP364,RIUPIEM4,CP52_BP0,CCHA44
BP365,RIP5CXL5,CP54_BP0,CCHA45
BP366,RIP5X165,CP56_BP0,CCHA46
BP367,RIP5X85,CP58_BP0,CCHA47
BP368,RIUPIEM5,CP47_BP0,CCHA51
BP369,RIB2CXL0,CP49_BP0,CCHA52
BP370,RIB2HOT0,CP51_BP0,CCHA53
