DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
AMISULPRIDA,SOCIAN,SOLIDO,SANOFI AVENTIS,NO REGULADO
AMISULPRIDA,DENIBAN,SOLIDO,SANOFI AVENTIS,NO REGULADO
BELATACEPT,NULOJIX,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
BILASTINA,BILAXTEN,SOLIDO,FAES FARMA,NO REGULADO
BRIMONIDINA,SIMBRINZA,LIQUIDO,NOVARTIS,NO REGULADO
CERLIPONASA,BRINEURA,LIQUIDO/SOLIDO,BIOMARIN,NO REGULADO
INHIBIDOR,BERINERT,LIQUIDO/SOLIDO,CSL BEHRING,NO REGULADO
INTERFERON,IMUKIN,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
IOVERSOL,OPTIRAY,LIQUIDO/SOLIDO,LIEBEL,NO REGULADO
PONATINIB,ICLUSIG,SOLIDO,PINT PHARMA,NO REGULADO
TAMSULOSINA,DUODART,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
TAMSULOSINA,TAMSULON DUO,SOLIDO,ASOFARMA,NO REGULADO
ILOPROST,VENTAVIS,LIQUIDO,BAYER,NO REGULADO
FACTOR,FEIBA,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
COAGULACION,NOVOSEVEN RT,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
AMBRISENTAN,VOLIBRIS,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
TEMOZOLOMIDA,TEMODAL,SOLIDO,MERCK SHARP DOME,NO REGULADO
CAPECITABINA,KAXEL,SOLIDO,MEDISPRAY,NO REGULADO
CAPECITABINA,XELODA,SOLIDO,ROCHE,NO REGULADO
CETUXIMAB,ERBITUX,LIQUIDO/SOLIDO,MERCK,NO REGULADO
SORAFENIB,NEXAVAR,SOLIDO,BAYER,NO REGULADO
BORTEZOMIB,VELCADE,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
BORTEZOMIB,BORTEZOMIB,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
BEVACIZUMAB,AVASTIN,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
GOSERELINA,ZOLADEX,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
INTERFERON,BETAFERON,LIQUIDO/SOLIDO,BAYER,NO REGULADO
INFLIXIMAB,REMICADE,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
NATALIZUMAB,TYSABRI,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
ECULIZUMAB,SOLIRIS,LIQUIDO/SOLIDO,ALEXION,NO REGULADO
ADALIMUMAB,HUMIRA TM,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
CERTOLIZUMAB,CIMZIA,LIQUIDO/SOLIDO,UCB,NO REGULADO
TOCILIZUMAB,ACTEMRA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
VIGABATRINA,SABRIL,SOLIDO,SANOFI AVENTIS,NO REGULADO
GALANTAMINA,REMINYL ER,SOLIDO,JANSSEN,NO REGULADO
OMALIZUMAB,XOLAIR,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
LANREOTIDO,SOMATULINE,LIQUIDO/SOLIDO,IPSEN,NO REGULADO
VALGANCICLOVIR,VALIXA,SOLIDO,ROCHE,NO REGULADO
VALGANCICLOVIR,VANGAVIR,SOLIDO,BIOTOSCANA,NO REGULADO
TACROLIMUS,PROGRAF XL,SOLIDO,ASTELLAS,NO REGULADO
LINEZOLID,ZYVOXID,SOLIDO,PFIZER,NO REGULADO
LINEZOLID,LINEZOLID,SOLIDO,VESALIUS,NO REGULADO
NILOTINIB,TASIGNA,SOLIDO,NOVARTIS,NO REGULADO
TACROLIMUS,PROGRAF,SOLIDO,ASTELLAS,NO REGULADO
TACROLIMUS,TACROLIMUS,SOLIDO,SANDOZ,NO REGULADO
INTERFERON,AVONEX,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
ABATACEPT,ORENCIA,LIQUIDO/SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
ETANERCEPT,ETANAR,LIQUIDO/SOLIDO,LA SANTE,NO REGULADO
ETANERCEPT,ENBREL,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
INTERFERON,REBIF,LIQUIDO/SOLIDO,MERCK,NO REGULADO
ALTEPLASA,ACTILYSE,LIQUIDO/SOLIDO,BOEHRINGER,NO REGULADO
