SERVICIO,DESCRIPCION,PIEZAS SOLICITADAS
CIRUGIA GENERAL,CLONIXINATO,4
CIRUGIA GENERAL,BUMETANIDA,1
URGENCIAS,ONDANSENTRON,10
URGENCIAS,ONDANSETRON,10
URGENCIAS,PARACETAMOL,10
URGENCIAS,PREDNISONA,2
URGENCIAS,GLUCOSA,10
URGENCIAS,BUTILHIOSCINA,15
URGENCIAS,KETOROLACO,10
URGENCIAS,OMEPRAZOL,5
URGENCIAS,TRAMADOL,10
URGENCIAS,METOCLOPRAMIDA,10
URGENCIAS,MULTIVITAMINICO,5
URGENCIAS,HIDROCORTISONA,10
URGENCIAS,NIFEDIPINO,10
URGENCIAS GINECOBSTETRICAS,DOXICICLINA,2
SUBDIRECCION DE ENFERMERIA,MEROPENEM,3
SUBDIRECCION DE ENFERMERIA,AMPICILINA,16
SUBDIRECCION DE ENFERMERIA,CEFTAZIDIMA,6
SUBDIRECCION DE ENFERMERIA,DOXICICLINA,2
SUBDIRECCION DE ENFERMERIA,AMIKACINA,2
SUBDIRECCION DE ENFERMERIA,LIDOCAINA/EPINEFRINA,2
URGENCIAS GINECOBSTETRICAS,PARACETAMOL,6
MEDICINA INTERNA,INSULINA,2
SUBDIRECCION DE ENFERMERIA,KETOROLACO,20
SUBDIRECCION DE ENFERMERIA,INSULINA,1
SUBDIRECCION DE ENFERMERIA,LINEZOLID,2
URGENCIAS GINECOBSTETRICAS,MISOPROSTOL,4
MEDICINA INTERNA,AMFOTERICINA,1
MEDICINA INTERNA,PROPOFOL,3
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,1
CIRUGIA PLASTICA Y RECONSTRUCTIVA,LINEZOLID,1
AREA DE CHOQUE,CLARITROMICINA,1
URGENCIAS,CLARITROMICINA,1
MEDICINA INTERNA,ATORVASTATINA,2
MEDICINA INTERNA,AMOXICILINA/CLAVULATO,3
MEDICINA INTERNA,PREDNISONA,2
MEDICINA INTERNA,SENOSIDOS,2
MEDICINA INTERNA,DOXICICLINA,2
MEDICINA INTERNA,CEFEPIME,8
CIRUGIA GENERAL,ERTAPENEM,1
CIRUGIA GENERAL,AMPICILINA,16
CIRUGIA GENERAL,LINEZOLID,2
CIRUGIA GENERAL,CIPROFLOXACINO,6
CIRUGIA GENERAL,MEROPENEM,3
CIRUGIA GENERAL,CIPROFLOXACINO,3
CIRUGIA GENERAL,TRIMETOPRIM/SULFAMETOXAZOL,6
TERAPIA INTENSIVA,ASCORBICO,3
TERAPIA INTENSIVA,CLORURO,2
TERAPIA INTENSIVA,TRIMETOPRIM/SULFAMETOXAZOL,6
TERAPIA INTENSIVA,LEVOFLOXACINA,1
TERAPIA INTENSIVA,AMIKACINA,2
TERAPIA INTENSIVA,ITRACONAZOL,4
TERAPIA INTENSIVA,PREDNISONA,1
TERAPIA INTENSIVA,NOREPINEFRINA,10
TERAPIA INTENSIVA,VANCOMICINA,4
TERAPIA INTENSIVA,ERTAPENEM,1
TERAPIA INTENSIVA,VANCOMICINA,6
TERAPIA INTENSIVA,MEROPENEM,3
TERAPIA INTENSIVA,CASPOFUNGINA,1
TERAPIA INTENSIVA,OMEPRAZOL,2
TERAPIA INTENSIVA,LEVOTIROXINA,1
TERAPIA INTENSIVA,HIDROCORTISONA,4
TERAPIA INTENSIVA,MULTIVITAMINICO,2
TERAPIA INTENSIVA,CLORURO,5
TERAPIA INTENSIVA,AMIODARONA,6
TERAPIA INTENSIVA,DIGOXINA,1
TERAPIA INTENSIVA,FUROSEMIDA,2
TERAPIA INTENSIVA,PARACETAMOL,3
TERAPIA INTENSIVA,CEFEPIME,4
TERAPIA INTENSIVA,METRONIDAZOL,3
TERAPIA INTENSIVA,MULTIVITAMINICO,1
TERAPIA INTENSIVA,METILPREDNISOLONA,2
TERAPIA INTENSIVA,LINEZOLID,1
TERAPIA INTENSIVA,MEROPENEM,2
TERAPIA INTENSIVA,AMOXICILINA/CLAVULATO,4
TERAPIA INTENSIVA,LEVETIRACETAM,4
TERAPIA INTENSIVA,OMEPRAZOL,1
TERAPIA INTENSIVA,CARBAMAZEPINA,6
TERAPIA INTENSIVA,VALPROICO,4
TERAPIA INTENSIVA,RISPERIDONA,2
TERAPIA INTENSIVA,CLORURO,4
TERAPIA INTENSIVA,ISONIACIDA,4
MEDICINA INTERNA,LINEZOLID,2
MEDICINA INTERNA,LEVOTIROXINA,1
MEDICINA INTERNA,TRAMADOL,3
MEDICINA INTERNA,LEVETIRACETAM,8
MEDICINA INTERNA,ERTAPENEM,1
MEDICINA INTERNA,FLUCONAZOL,2
MEDICINA INTERNA,TIGECICLINA,2
MEDICINA INTERNA,CEFEPIME,4
MEDICINA INTERNA,CLARITROMICINA,2
MEDICINA INTERNA,OMEPRAZOL,1
MEDICINA INTERNA,AMOXICILINA/CLAVULANATO,0
MEDICINA INTERNA,ISONIAZIDA/RIFAMPICINA,0
MEDICINA INTERNA,CASPOFUNGINA,1
MEDICINA INTERNA,CEFALOTINA,12
CIRUGIA GENERAL,CEFTAZIDIMA,4
MEDICINA INTERNA,SERTRALINA,1
MEDICINA INTERNA,CAPTOPRIL,2
MEDICINA INTERNA,LACTATO,6
MEDICINA INTERNA,BIPERIDENO,2
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,6
MEDICINA INTERNA,GABAPENTINA,3
MEDICINA INTERNA,DEXAMETASONA,2
MEDICINA INTERNA,FENITOINA,3
MEDICINA INTERNA,NIFEDIPINO,3
CIRUGIA GENERAL,VANCOMICINA,4
